run_accession	sample_accession	accession	experiment_accession	base_count	fastq_bytes	fastq_ftp
DRR002239	SAMD00012927	SAMD00012927	DRX001661	20108476	10963542	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002239/DRR002239.fastq.gz
DRR002240	SAMD00012919	SAMD00012919	DRX001662	8450898	3412214	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002240/DRR002240.fastq.gz
DRR002241	SAMD00012925	SAMD00012925	DRX001665	14900550	4029364	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002241/DRR002241.fastq.gz
DRR002242	SAMD00012920	SAMD00012920	DRX001666	1728226	208213	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002242/DRR002242.fastq.gz
DRR002243	SAMD00012920	SAMD00012920	DRX001666	6599405	1791401	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002243/DRR002243.fastq.gz
DRR002244	SAMD00012920	SAMD00012920	DRX001666	6346536	1907053	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002244/DRR002244.fastq.gz
DRR002245	SAMD00012923	SAMD00012923	DRX001667	1600040	179224	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002245/DRR002245.fastq.gz
DRR002246	SAMD00012923	SAMD00012923	DRX001667	7528796	2456625	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002246/DRR002246.fastq.gz
DRR002247	SAMD00012923	SAMD00012923	DRX001667	6389723	2673806	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002247/DRR002247.fastq.gz
DRR002248	SAMD00012921	SAMD00012921	DRX001668	2286142	219758	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002248/DRR002248.fastq.gz
DRR002249	SAMD00012921	SAMD00012921	DRX001668	9189475	2751254	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002249/DRR002249.fastq.gz
DRR002250	SAMD00012921	SAMD00012921	DRX001668	7251561	3024730	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002250/DRR002250.fastq.gz
DRR002472	SAMD00002806	SAMD00002806	DRX001857	4036543	3226032	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002472/DRR002472.fastq.gz
DRR002614	SAMD00009369	SAMD00009369	DRX001962	1550744	530570	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002614/DRR002614.fastq.gz
DRR002615	SAMD00009374	SAMD00009374	DRX001963	1463894	509106	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002615/DRR002615.fastq.gz
DRR002616	SAMD00009372	SAMD00009372	DRX001964	1190516	432341	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002616/DRR002616.fastq.gz
DRR002617	SAMD00009371	SAMD00009371	DRX001965	1346849	490701	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002617/DRR002617.fastq.gz
DRR002618	SAMD00009373	SAMD00009373	DRX001966	2953182	1064422	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002618/DRR002618.fastq.gz
DRR002619	SAMD00009370	SAMD00009370	DRX001967	1898565	701796	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002619/DRR002619.fastq.gz
DRR002654	SAMD00004161	SAMD00004161	DRX001991	3281651	1317536	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002654/DRR002654.fastq.gz
DRR002655	SAMD00009499	SAMD00009499	DRX001992	3391059	1250967	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002655/DRR002655.fastq.gz
DRR002669	SAMD00013656	SAMD00013656	DRX002006	4333477	1303562	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002669/DRR002669.fastq.gz
DRR002670	SAMD00003105	SAMD00003105	DRX002007	4422365	1419922	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002670/DRR002670.fastq.gz
DRR002671	SAMD00004644	SAMD00004644	DRX002008	3207804	934319	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002671/DRR002671.fastq.gz
DRR002672	SAMD00006323	SAMD00006323	DRX002009	6676788	2151264	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002672/DRR002672.fastq.gz
DRR002673	SAMD00010699	SAMD00010699	DRX002010	5611003	1804604	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002673/DRR002673.fastq.gz
DRR002674	SAMD00013987	SAMD00013987	DRX002011	7540672	2881134	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002674/DRR002674.fastq.gz
DRR002675	SAMD00013515	SAMD00013515	DRX002012	8387800	3221574	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002675/DRR002675.fastq.gz
DRR002676	SAMD00009961	SAMD00009961	DRX002013	8686598	2846117	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002676/DRR002676.fastq.gz
DRR002677	SAMD00012238	SAMD00012238	DRX002014	6354188	2165584	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002677/DRR002677.fastq.gz
DRR002678	SAMD00012835	SAMD00012835	DRX002015	7049081	2678045	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002678/DRR002678.fastq.gz
DRR002679	SAMD00003138	SAMD00003138	DRX002016	8825880	2547569	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002679/DRR002679.fastq.gz
DRR002680	SAMD00013812	SAMD00013812	DRX002017	11492978	3612661	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002680/DRR002680.fastq.gz
DRR002681	SAMD00010917	SAMD00010917	DRX002018	11217559	3515169	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002681/DRR002681.fastq.gz
