run_accession	sample_accession	accession	experiment_accession	base_count	fastq_bytes	fastq_ftp
DRR001479	SAMD00015674	SAMD00015674	DRX001033	5078931	1970032	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001479/DRR001479.fastq.gz
DRR001480	SAMD00015682	SAMD00015682	DRX001034	2853229	977771	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001480/DRR001480.fastq.gz
DRR001481	SAMD00015681	SAMD00015681	DRX001035	10909836	3821563	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001481/DRR001481.fastq.gz
DRR001521	SAMD00009685	SAMD00009685	DRX001074	7926546	3102243	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001521/DRR001521.fastq.gz
DRR001522	SAMD00009685	SAMD00009685	DRX001074	7291858	2864430	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001522/DRR001522.fastq.gz
DRR001523	SAMD00009685	SAMD00009685	DRX001074	11330722	4456674	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001523/DRR001523.fastq.gz
DRR001524	SAMD00009685	SAMD00009685	DRX001074	10133737	4006881	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001524/DRR001524.fastq.gz
DRR001525	SAMD00009685	SAMD00009685	DRX001074	7848003	3014154	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001525/DRR001525.fastq.gz
DRR001526	SAMD00009685	SAMD00009685	DRX001074	8250975	3407058	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001526/DRR001526.fastq.gz
DRR001527	SAMD00009685	SAMD00009685	DRX001074	9951441	4218709	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001527/DRR001527.fastq.gz
DRR001528	SAMD00009685	SAMD00009685	DRX001074	6343777	2730434	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001528/DRR001528.fastq.gz
DRR001529	SAMD00009685	SAMD00009685	DRX001074	8514278	3654821	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001529/DRR001529.fastq.gz
DRR001530	SAMD00009685	SAMD00009685	DRX001074	8520112	3433280	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001530/DRR001530.fastq.gz
DRR001531	SAMD00009685	SAMD00009685	DRX001074	9068764	3566085	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001531/DRR001531.fastq.gz
DRR001532	SAMD00009685	SAMD00009685	DRX001074	50183	20284	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001532/DRR001532.fastq.gz
DRR001533	SAMD00009685	SAMD00009685	DRX001074	6736723	2656795	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001533/DRR001533.fastq.gz
DRR001534	SAMD00009685	SAMD00009685	DRX001074	5875431	2431343	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001534/DRR001534.fastq.gz
DRR001535	SAMD00009685	SAMD00009685	DRX001074	6087636	2449213	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001535/DRR001535.fastq.gz
DRR001536	SAMD00009685	SAMD00009685	DRX001074	9810619	4338559	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001536/DRR001536.fastq.gz
DRR001537	SAMD00009685	SAMD00009685	DRX001074	8979764	3714183	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001537/DRR001537.fastq.gz
DRR001538	SAMD00009685	SAMD00009685	DRX001074	10148753	4269148	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001538/DRR001538.fastq.gz
DRR001539	SAMD00009685	SAMD00009685	DRX001074	9266039	3714334	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001539/DRR001539.fastq.gz
DRR001540	SAMD00009685	SAMD00009685	DRX001074	6457429	2668164	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001540/DRR001540.fastq.gz
DRR001541	SAMD00009685	SAMD00009685	DRX001074	11754720	4906902	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001541/DRR001541.fastq.gz
DRR001542	SAMD00009685	SAMD00009685	DRX001074	9549496	3884551	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001542/DRR001542.fastq.gz
DRR001543	SAMD00009685	SAMD00009685	DRX001074	11375677	4748187	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001543/DRR001543.fastq.gz
DRR001544	SAMD00009685	SAMD00009685	DRX001074	9090388	3954826	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001544/DRR001544.fastq.gz
DRR001545	SAMD00009685	SAMD00009685	DRX001074	8910948	3639692	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001545/DRR001545.fastq.gz
DRR001546	SAMD00009685	SAMD00009685	DRX001074	8799574	3685134	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001546/DRR001546.fastq.gz
DRR001547	SAMD00009685	SAMD00009685	DRX001074	8959944	3575661	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001547/DRR001547.fastq.gz
DRR001548	SAMD00009685	SAMD00009685	DRX001074	9679841	3954091	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001548/DRR001548.fastq.gz
DRR001549	SAMD00009685	SAMD00009685	DRX001074	8502802	3541296	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001549/DRR001549.fastq.gz
DRR001550	SAMD00009685	SAMD00009685	DRX001074	8523813	3569635	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001550/DRR001550.fastq.gz
DRR001608	SAMD00009125	SAMD00009125	DRX001106	12939317	7919025	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001608/DRR001608.fastq.gz
DRR001609	SAMD00009129	SAMD00009129	DRX001107	13390485	7816594	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001609/DRR001609.fastq.gz
DRR001610	SAMD00009121	SAMD00009121	DRX001108	15860489	8052811	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001610/DRR001610.fastq.gz
DRR001611	SAMD00009124	SAMD00009124	DRX001109	6279326	3054346	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001611/DRR001611.fastq.gz
